"","Cluster","direction","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","down","down","R-HSA-6798695","Neutrophil degranulation","57/339","480/10856",8.7214303910199e-19,8.39873746655216e-16,7.45452787106122e-16,"ARG1/LTF/MMP8/TRPM2/CD93/OLFM4/LPCAT1/ADGRE5/ROCK1/CEACAM8/PYGL/ALOX5/CKAP4/RNASET2/SLCO4C1/PRKCD/DEFA4/DNAJC3/CAMP/ADAM8/PGM2/ABCA13/ACTR2/HK3/PTPRC/ATP8B4/CRISP3/DEFA1/OLR1/MOSPD2/ORM2/IQGAP1/CR1/LCN2/RAB27A/ITGB2/VCL/SLC15A4/TCIRG1/TMEM30A/LAIR1/SDCBP/ORM1/SLC11A1/ITGAM/CDK13/MAPK1/CAPN1/LAMP1/MVP/IGF2R/PTX3/ARSA/SLC2A3/VCP/CAP1/DOCK2",57
"2","up","up","R-HSA-72766","Translation","51/245","291/10856",1.65688687188363e-31,1.04715250303046e-28,9.73203025801124e-29,"RPL23A/RPS19/RPL18A/RPLP2/RPS15/RPL10/RPL37A/RPL4/RPL14/RPL38/RPS2/MRPS27/RPL22/RPS3/MRPL49/MRPL42/RPLP0/RPL19/YARS2/MRPS14/RPL36/RPL7A/RPL3/RPL13A/MRPS18A/RPS11/MRPL22/RPL18/MARS2/MRPL46/RPSA/RPS8/MRPL2/RPL28/RPS5/SEC11C/N6AMT1/MRPL40/RPS10/MRPL14/FARSB/MRPL24/RPS7/SEC61G/RPL12/EIF3H/SRPRB/RPS27/MRPS23/RPL10A/RPS29",51
"3","up","up","R-HSA-72764","Eukaryotic Translation Termination","32/245","93/10856",6.89074770769765e-30,2.17747627563246e-27,2.02370380047121e-27,"RPL23A/RPS19/RPL18A/RPLP2/RPS15/RPL10/RPL37A/RPL4/RPL14/RPL38/RPS2/RPL22/RPS3/RPLP0/RPL19/RPL36/RPL7A/RPL3/RPL13A/RPS11/RPL18/RPSA/RPS8/RPL28/RPS5/N6AMT1/RPS10/RPS7/RPL12/RPS27/RPL10A/RPS29",32
"4","up","up","R-HSA-1799339","SRP-dependent cotranslational protein targeting to membrane","34/245","112/10856",1.31783393127663e-29,2.77623681522276e-27,2.58018011807845e-27,"RPL23A/RPS19/RPL18A/RPLP2/RPS15/RPL10/RPL37A/RPL4/RPL14/RPL38/RPS2/RPL22/RPS3/RPLP0/RPL19/RPL36/RPL7A/RPL3/RPL13A/RPS11/RPL18/RPSA/RPS8/RPL28/RPS5/SEC11C/RPS10/RPS7/SEC61G/RPL12/SRPRB/RPS27/RPL10A/RPS29",34
"5","up","up","R-HSA-156902","Peptide chain elongation","31/245","89/10856",3.62792700164966e-29,4.58569973008516e-27,4.26185950930633e-27,"RPL23A/RPS19/RPL18A/RPLP2/RPS15/RPL10/RPL37A/RPL4/RPL14/RPL38/RPS2/RPL22/RPS3/RPLP0/RPL19/RPL36/RPL7A/RPL3/RPL13A/RPS11/RPL18/RPSA/RPS8/RPL28/RPS5/RPS10/RPS7/RPL12/RPS27/RPL10A/RPS29",31
"6","up","up","R-HSA-192823","Viral mRNA Translation","31/245","89/10856",3.62792700164966e-29,4.58569973008516e-27,4.26185950930633e-27,"RPL23A/RPS19/RPL18A/RPLP2/RPS15/RPL10/RPL37A/RPL4/RPL14/RPL38/RPS2/RPL22/RPS3/RPLP0/RPL19/RPL36/RPL7A/RPL3/RPL13A/RPS11/RPL18/RPSA/RPS8/RPL28/RPS5/RPS10/RPS7/RPL12/RPS27/RPL10A/RPS29",31
"7","up","up","R-HSA-72312","rRNA processing","42/245","204/10856",6.84543031324156e-29,7.21051992994778e-27,6.70131599085753e-27,"RPL23A/RPS19/SNU13/RPL18A/RPLP2/RPS15/RPL10/RPL37A/RPL4/RPL14/RPL38/TEX10/FBL/RPS2/RPL22/RPS3/RPLP0/RPL19/RPL36/RPL7A/NSUN4/RPL3/RPL13A/RPS11/RPL18/NHP2/RPSA/RPS8/RPL28/RPS5/EXOSC1/DIMT1/EMG1/RPS10/EXOSC7/RPS7/RPL12/EXOSC2/EXOSC8/RPS27/RPL10A/RPS29",42
"8","up","up","R-HSA-8868773","rRNA processing in the nucleus and cytosol","41/245","194/10856",1.09508775749511e-28,9.88707803909869e-27,9.18885667191384e-27,"RPL23A/RPS19/SNU13/RPL18A/RPLP2/RPS15/RPL10/RPL37A/RPL4/RPL14/RPL38/TEX10/FBL/RPS2/RPL22/RPS3/RPLP0/RPL19/RPL36/RPL7A/RPL3/RPL13A/RPS11/RPL18/NHP2/RPSA/RPS8/RPL28/RPS5/EXOSC1/DIMT1/EMG1/RPS10/EXOSC7/RPS7/RPL12/EXOSC2/EXOSC8/RPS27/RPL10A/RPS29",41
"9","up","up","R-HSA-72689","Formation of a pool of free 40S subunits","32/245","101/10856",1.4265639589763e-28,1.11038205850059e-26,1.03196733618143e-26,"RPL23A/RPS19/RPL18A/RPLP2/RPS15/RPL10/RPL37A/RPL4/RPL14/RPL38/RPS2/RPL22/RPS3/RPLP0/RPL19/RPL36/RPL7A/RPL3/RPL13A/RPS11/RPL18/RPSA/RPS8/RPL28/RPS5/RPS10/RPS7/RPL12/EIF3H/RPS27/RPL10A/RPS29",32
"10","up","up","R-HSA-156842","Eukaryotic Translation Elongation","31/245","93/10856",1.75693363686802e-28,1.11038205850059e-26,1.03196733618143e-26,"RPL23A/RPS19/RPL18A/RPLP2/RPS15/RPL10/RPL37A/RPL4/RPL14/RPL38/RPS2/RPL22/RPS3/RPLP0/RPL19/RPL36/RPL7A/RPL3/RPL13A/RPS11/RPL18/RPSA/RPS8/RPL28/RPS5/RPS10/RPS7/RPL12/RPS27/RPL10A/RPS29",31
